question_id,reference_answer,expected_citations,answer_scope_notes
CH-MH-001,"High-risk AI outputs require a review record naming the reviewer, date, evidence checked, decision and follow-up action; human review is also required for missing evidence.","[DOC-001:AI-POL-003];[DOC-009:HR-PROT-001]",Challenge reference answer.
CH-MH-002,"Monitoring checks include retrieval hit rate, citation support, refusal accuracy, answer completeness and human review volume; repeated wrong citations open an AI incident.","[DOC-004:MON-NOTE-001];[DOC-005:INC-PROC-001]",Challenge reference answer.
CH-MH-003,"Analytical jobs record package versions, input paths, run timestamp and output location; datasets record source system, extraction date, transformation owner and quality checks.","[DOC-006:AN-GUIDE-001];[DOC-002:DATA-STD-002]",Challenge reference answer.
CH-MH-004,"Retrieved instructions are untrusted data and should not be followed; reviewers check the question, retrieved evidence, answer claims, citations, risk label and refusal decision.","[DOC-003:SEC-PROC-002];[DOC-009:HR-PROT-002]",Challenge reference answer.
CH-MH-005,"Corpus drift is reviewed monthly using document versions, policy dates, unresolved incidents and failed evaluations; knowledge base documents are reviewed sooner after incidents, policy changes or audit findings.","[DOC-004:MON-NOTE-002];[DOC-010:KB-GUIDE-002]",Challenge reference answer.
CH-CON-001,"The restricted-use rule governs access decisions because AI systems must not make final access decisions without documented human review and approved controls.","[DOC-001:AI-POL-002]",Challenge reference answer.
CH-CON-002,"Access to restricted datasets requires separate data owner approval in addition to role-based platform access.","[DOC-006:AN-GUIDE-002]",Challenge reference answer.
CH-CON-003,"A metric breach is escalated under the monitoring rule, and incident closure requires root cause notes, control changes, validation evidence and approval from the incident owner.","[DOC-004:MON-NOTE-003];[DOC-005:INC-PROC-003]",Challenge reference answer.
CH-STALE-001,"Document ID, title, version, date, owner, risk domain and section headings help determine source metadata and recency.","[DOC-010:KB-GUIDE-001]",Challenge reference answer.
CH-STALE-002,"Deprecated documents are removed from retrieval indexes only after replacement content and traceability notes are available.","[DOC-010:KB-GUIDE-003]",Challenge reference answer.
CH-STALE-003,"Corpus drift is reviewed monthly by comparing document versions, policy dates, unresolved incidents and recent failed evaluation cases.","[DOC-004:MON-NOTE-002]",Challenge reference answer.
