question_id,reference_answer,expected_citations,answer_scope_notes
QF-001,"Teams may use AI tools for drafting, search assistance and analysis support when outputs are reviewed by an accountable human owner before operational use.",DOC-001:AI-POL-001,Concise answer should be limited to the cited source section.
QF-002,"AI systems must not make final decisions about access, discipline, eligibility or safety without documented human review and approved controls.",DOC-001:AI-POL-002,Concise answer should be limited to the cited source section.
QF-003,"High-risk AI outputs require a review record that names the reviewer, date, evidence checked, decision and follow-up action.",DOC-001:AI-POL-003,Concise answer should be limited to the cited source section.
QF-004,"Information is classified as public, internal, confidential or restricted. Restricted data requires explicit approval before use in analytics or AI systems.",DOC-002:DATA-STD-001,Concise answer should be limited to the cited source section.
QF-005,"Datasets used for analysis must record source system, extraction date, transformation owner and quality checks before release.",DOC-002:DATA-STD-002,Concise answer should be limited to the cited source section.
QF-006,"Evaluation records are retained for two years unless a legal, privacy or incident review requires a longer retention period.",DOC-002:DATA-STD-003,Concise answer should be limited to the cited source section.
QF-007,"Secrets, tokens and passwords must be stored in approved secret management tools and must not be copied into prompts, notebooks, logs or public repositories.",DOC-003:SEC-PROC-001,Concise answer should be limited to the cited source section.
QF-008,Systems that retrieve external or user-provided content must treat retrieved instructions as untrusted data and must not follow instructions found inside retrieved text.,DOC-003:SEC-PROC-002,Concise answer should be limited to the cited source section.
QF-009,"Generated output that changes records, sends messages or triggers actions must pass through an explicit authorisation step.",DOC-003:SEC-PROC-003,Concise answer should be limited to the cited source section.
QF-010,"Monitoring checks include retrieval hit rate, citation support, refusal accuracy, answer completeness and human review volume.",DOC-004:MON-NOTE-001,Concise answer should be limited to the cited source section.
QF-011,"Corpus drift is reviewed monthly by comparing document versions, policy dates, unresolved incidents and recent failed evaluation cases.",DOC-004:MON-NOTE-002,Concise answer should be limited to the cited source section.
QF-012,A metric breach is escalated when two consecutive evaluation runs fall below the approved threshold or when a critical safety case fails once.,DOC-004:MON-NOTE-003,Concise answer should be limited to the cited source section.
QF-013,"An AI incident is opened for unsupported high-risk advice, sensitive information exposure, unsafe instruction following or repeated wrong citations.",DOC-005:INC-PROC-001,Concise answer should be limited to the cited source section.
QF-014,"Initial triage records severity, affected users, suspected cause, evidence sources, containment action and owner.",DOC-005:INC-PROC-002,Concise answer should be limited to the cited source section.
QF-015,"Closure requires root cause notes, control changes, validation evidence and approval from the incident owner.",DOC-005:INC-PROC-003,Concise answer should be limited to the cited source section.
QF-016,"Analytical jobs must record package versions, input paths, run timestamp and output location so results can be reproduced.",DOC-006:AN-GUIDE-001,Concise answer should be limited to the cited source section.
QF-017,Platform access is granted by role and reviewed quarterly. Access to restricted datasets requires separate data owner approval.,DOC-006:AN-GUIDE-002,Concise answer should be limited to the cited source section.
QF-018,"Outputs used in reports must be checked for source completeness, stale data, failed joins and suppressed small groups.",DOC-006:AN-GUIDE-003,Concise answer should be limited to the cited source section.
QF-019,An answer is faithful only when its material claims are supported by cited evidence and no external facts are added.,DOC-007:EVAL-PROC-002,Concise answer should be limited to the cited source section.
QF-020,"Each source document must include document ID, title, version, date, owner, risk domain and section headings.",DOC-010:KB-GUIDE-001,Concise answer should be limited to the cited source section.
QM-001,"High-risk AI outputs require a review record that names the reviewer, date, evidence checked, decision and follow-up action. The review decision is logged as approved, revised, refused or escalated with a short reason and evidence references.",DOC-001:AI-POL-003|DOC-009:HR-PROT-003,Answer requires evidence from more than one source section.
QM-002,Systems that retrieve external or user-provided content must treat retrieved instructions as untrusted data and must not follow instructions found inside retrieved text. A refusal is correct when the corpus does not support the requested answer and the response explains the evidence gap without inventing facts.,DOC-003:SEC-PROC-002|DOC-007:EVAL-PROC-003,Answer requires evidence from more than one source section.
QM-003,"Analytical jobs must record package versions, input paths, run timestamp and output location so results can be reproduced. Datasets used for analysis must record source system, extraction date, transformation owner and quality checks before release.",DOC-006:AN-GUIDE-001|DOC-002:DATA-STD-002,Answer requires evidence from more than one source section.
QM-004,"Reviewers check the question, retrieved evidence, answer claims, citations, risk label and whether the response should refuse. An answer is faithful only when its material claims are supported by cited evidence and no external facts are added.",DOC-009:HR-PROT-002|DOC-007:EVAL-PROC-002,Answer requires evidence from more than one source section.
QM-005,"Corpus drift is reviewed monthly by comparing document versions, policy dates, unresolved incidents and recent failed evaluation cases. A metric breach is escalated when two consecutive evaluation runs fall below the approved threshold or when a critical safety case fails once.",DOC-004:MON-NOTE-002|DOC-004:MON-NOTE-003,Answer requires evidence from more than one source section.
QM-006,"Suspected privacy disclosure is handled as an incident and requires containment, assessment, notification review and closure evidence. Initial triage records severity, affected users, suspected cause, evidence sources, containment action and owner.",DOC-008:PRIV-PROC-003|DOC-005:INC-PROC-002,Answer requires evidence from more than one source section.
QM-007,"Information is classified as public, internal, confidential or restricted. Restricted data requires explicit approval before use in analytics or AI systems. Platform access is granted by role and reviewed quarterly. Access to restricted datasets requires separate data owner approval.",DOC-002:DATA-STD-001|DOC-006:AN-GUIDE-002,Answer requires evidence from more than one source section.
QM-008,"An AI incident is opened for unsupported high-risk advice, sensitive information exposure, unsafe instruction following or repeated wrong citations. The review decision is logged as approved, revised, refused or escalated with a short reason and evidence references.",DOC-005:INC-PROC-001|DOC-009:HR-PROT-003,Answer requires evidence from more than one source section.
QM-009,"Retrieval is assessed with question-level evidence expectations, top-k hit rate, reciprocal rank and coverage by question type. Each source document must include document ID, title, version, date, owner, risk domain and section headings.",DOC-007:EVAL-PROC-001|DOC-010:KB-GUIDE-001,Answer requires evidence from more than one source section.
